epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7544,1.67192,2.33721,1.83795,0.24679,0.3046,0.17898,0.05784,2.13475,2.57857,2.48912,0.000665615,0.000665615,0.000665615
2,180.085,1.81626,2.22493,1.98595,0.43258,0.44613,0.36186,0.12866,2.01545,2.14699,2.35562,0.00128832,0.00128832,0.00128832
3,257.209,1.79862,2.15365,1.965,0.39241,0.41642,0.38216,0.14584,1.94827,2.08264,2.25501,0.00186702,0.00186702,0.00186702
4,333.351,1.78496,2.10818,1.95194,0.45494,0.42865,0.40894,0.16258,2.00639,1.98079,2.30193,0.001802,0.001802,0.001802
5,409.318,1.74317,2.04749,1.89822,0.54822,0.51663,0.53657,0.21885,1.89883,1.74973,2.17219,0.001736,0.001736,0.001736
6,485.799,1.69365,1.97926,1.8706,0.57401,0.52999,0.56137,0.25938,1.78723,1.71674,2.07153,0.00167,0.00167,0.00167
7,561.878,1.67556,1.9465,1.85245,0.57176,0.52242,0.53601,0.23584,1.76768,1.79114,2.03423,0.001604,0.001604,0.001604
8,637.585,1.64773,1.87748,1.82253,0.64687,0.57018,0.62457,0.28404,1.77907,1.56786,2.02688,0.001538,0.001538,0.001538
9,713.06,1.6207,1.83587,1.8047,0.59936,0.53582,0.57312,0.26526,1.7788,1.67217,2.07328,0.001472,0.001472,0.001472
10,789.027,1.6061,1.8105,1.79019,0.65325,0.58882,0.64948,0.31654,1.7092,1.46803,1.95174,0.001406,0.001406,0.001406
11,865.413,1.59011,1.75887,1.77756,0.67485,0.60163,0.66601,0.31772,1.68906,1.5045,1.9819,0.00134,0.00134,0.00134
12,941.271,1.56499,1.71434,1.76048,0.67458,0.58183,0.65404,0.32556,1.65021,1.50101,1.95779,0.001274,0.001274,0.001274
13,1017.55,1.56354,1.70925,1.76081,0.71446,0.62373,0.70738,0.34985,1.64345,1.40172,1.90847,0.001208,0.001208,0.001208
14,1094.39,1.56641,1.67752,1.74857,0.72474,0.63658,0.71335,0.3534,1.63353,1.3612,1.89503,0.001142,0.001142,0.001142
15,1169.73,1.53299,1.66039,1.7452,0.73392,0.63774,0.7149,0.36219,1.62156,1.36579,1.89427,0.001076,0.001076,0.001076
16,1242.63,1.5272,1.61988,1.71185,0.75328,0.6325,0.71268,0.36461,1.59339,1.35077,1.8778,0.00101,0.00101,0.00101
17,1315.72,1.49489,1.57776,1.69109,0.7494,0.62699,0.72421,0.37182,1.61037,1.30602,1.86461,0.000944,0.000944,0.000944
18,1389.02,1.48747,1.53009,1.6861,0.7534,0.68327,0.76591,0.40018,1.58158,1.20818,1.85358,0.000878,0.000878,0.000878
19,1464.56,1.46423,1.50832,1.67626,0.73323,0.66337,0.73841,0.39053,1.56839,1.2486,1.82682,0.000812,0.000812,0.000812
20,1547.31,1.46285,1.50857,1.66794,0.74693,0.63425,0.73339,0.38285,1.54656,1.28669,1.82622,0.000746,0.000746,0.000746
21,1650.35,1.50294,1.36141,1.77639,0.77784,0.67036,0.76791,0.41104,1.53382,1.19377,1.80475,0.00068,0.00068,0.00068
22,1726.18,1.48576,1.28434,1.76089,0.79428,0.67011,0.77737,0.41497,1.54712,1.17536,1.82048,0.000614,0.000614,0.000614
23,1801.17,1.45788,1.24156,1.73513,0.76229,0.71054,0.78655,0.42741,1.49824,1.15551,1.76337,0.000548,0.000548,0.000548
24,1875.83,1.43896,1.21043,1.71941,0.79325,0.70611,0.79338,0.44027,1.4701,1.125,1.75281,0.000482,0.000482,0.000482
25,1950.86,1.42528,1.17527,1.7027,0.78186,0.72161,0.79788,0.43839,1.48591,1.09238,1.74752,0.000416,0.000416,0.000416
26,2025.53,1.40595,1.15604,1.68139,0.79962,0.71578,0.80265,0.44472,1.46871,1.07774,1.74316,0.00035,0.00035,0.00035
27,2100.66,1.38387,1.10414,1.66668,0.81265,0.71171,0.81155,0.4484,1.47738,1.05697,1.74937,0.000284,0.000284,0.000284
28,2175.29,1.36729,1.08301,1.65207,0.82663,0.71647,0.81517,0.45165,1.47527,1.0463,1.7475,0.000218,0.000218,0.000218
29,2250.11,1.34982,1.05503,1.63662,0.81891,0.73267,0.81667,0.45494,1.46357,1.03728,1.73489,0.000152,0.000152,0.000152
30,2324.73,1.33179,1.03219,1.62824,0.82681,0.72219,0.81739,0.45929,1.46165,1.02436,1.73178,8.6e-05,8.6e-05,8.6e-05
