epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2289,1.61566,2.28252,1.77832,0.3283,0.31682,0.25,0.08735,2.13876,2.7878,2.46263,0.000664564,0.000664564,0.000664564
2,121.655,1.76993,2.17714,1.94077,0.33835,0.35527,0.28301,0.10728,2.16592,2.34569,2.5729,0.00131476,0.00131476,0.00131476
3,179.397,1.80714,2.13684,1.95421,0.3982,0.42698,0.34896,0.12267,2.053,3.0204,2.35343,0.00194845,0.00194845,0.00194845
4,235.835,1.77429,2.08708,1.92968,0.33093,0.34421,0.27782,0.09523,2.18957,2.34305,2.54825,0.00192575,0.00192575,0.00192575
5,292.646,1.74464,2.02541,1.89515,0.52657,0.48923,0.49815,0.21305,1.87446,1.8512,2.14574,0.001901,0.001901,0.001901
6,349.069,1.70242,1.94854,1.86266,0.55117,0.48806,0.49205,0.2096,1.92119,1.90927,2.23935,0.00187625,0.00187625,0.00187625
7,405.968,1.68026,1.91094,1.8531,0.5057,0.54106,0.51848,0.22924,1.82672,1.80861,2.08596,0.0018515,0.0018515,0.0018515
8,462.526,1.6476,1.84114,1.81936,0.58352,0.4945,0.53656,0.22838,1.86434,1.80456,2.13241,0.00182675,0.00182675,0.00182675
9,519.186,1.62236,1.78313,1.79369,0.66458,0.56028,0.61471,0.28566,1.74617,1.60101,2.0419,0.001802,0.001802,0.001802
10,581.71,1.62449,1.79579,1.79724,0.62698,0.5399,0.60359,0.28744,1.72031,1.63502,2.02338,0.00177725,0.00177725,0.00177725
11,641.325,1.5973,1.75135,1.77676,0.68892,0.59522,0.67066,0.31944,1.68257,1.50363,1.9743,0.0017525,0.0017525,0.0017525
12,698.064,1.60087,1.7325,1.76913,0.66752,0.51252,0.58811,0.27195,1.82617,1.61513,2.03583,0.00172775,0.00172775,0.00172775
13,755.615,1.56276,1.68706,1.73958,0.66439,0.58299,0.65758,0.31526,1.69305,1.50539,1.93084,0.001703,0.001703,0.001703
14,812.481,1.58322,1.69902,1.74923,0.67319,0.63017,0.68176,0.32618,1.68422,1.45931,1.94842,0.00167825,0.00167825,0.00167825
15,868.992,1.57191,1.6823,1.74844,0.62331,0.56669,0.62062,0.29993,1.71558,1.54578,2.00161,0.0016535,0.0016535,0.0016535
16,925.631,1.5506,1.62071,1.71563,0.73055,0.63321,0.70282,0.33652,1.72469,1.37265,1.96403,0.00162875,0.00162875,0.00162875
17,982.708,1.55139,1.61454,1.72423,0.72558,0.62726,0.7113,0.36272,1.64783,1.35625,1.88775,0.001604,0.001604,0.001604
18,1039.31,1.53051,1.57856,1.71016,0.7068,0.62726,0.70804,0.35587,1.61096,1.39356,1.88762,0.00157925,0.00157925,0.00157925
19,1096.22,1.51225,1.5619,1.69196,0.70332,0.61037,0.68736,0.32201,1.66634,1.41917,1.92648,0.0015545,0.0015545,0.0015545
20,1152.98,1.51003,1.53984,1.69166,0.7433,0.63599,0.71904,0.3615,1.62594,1.33355,1.88704,0.00152975,0.00152975,0.00152975
21,1210.07,1.50052,1.52322,1.67264,0.7371,0.63849,0.72607,0.37978,1.59461,1.32924,1.85744,0.001505,0.001505,0.001505
22,1266.71,1.49443,1.5357,1.67962,0.66747,0.60105,0.66177,0.31598,1.68202,1.42839,1.92877,0.00148025,0.00148025,0.00148025
23,1323.05,1.49086,1.50851,1.66421,0.67957,0.6423,0.69363,0.35368,1.59163,1.34073,1.86542,0.0014555,0.0014555,0.0014555
24,1379.34,1.4673,1.49346,1.66795,0.69429,0.66337,0.71513,0.35893,1.62419,1.2994,1.87368,0.00143075,0.00143075,0.00143075
25,1435.43,1.48737,1.4749,1.66276,0.73312,0.66875,0.73479,0.3833,1.60171,1.26542,1.86858,0.001406,0.001406,0.001406
26,1491.8,1.46698,1.45624,1.6539,0.76138,0.65987,0.74437,0.39292,1.56559,1.26423,1.81989,0.00138125,0.00138125,0.00138125
27,1548.7,1.46133,1.436,1.65365,0.77077,0.66778,0.75587,0.3995,1.57689,1.2058,1.83078,0.0013565,0.0013565,0.0013565
28,1605.32,1.44149,1.40945,1.63214,0.77903,0.66686,0.76787,0.41117,1.56489,1.16575,1.82886,0.00133175,0.00133175,0.00133175
29,1661.79,1.46467,1.42366,1.64219,0.76394,0.69132,0.76687,0.39983,1.58837,1.18277,1.82927,0.001307,0.001307,0.001307
30,1718,1.44889,1.41005,1.63756,0.77748,0.68492,0.76894,0.40454,1.57964,1.18884,1.8401,0.00128225,0.00128225,0.00128225
31,1774.42,1.43514,1.40295,1.62959,0.78948,0.6954,0.78212,0.4251,1.5634,1.12054,1.81275,0.0012575,0.0012575,0.0012575
32,1830.52,1.43758,1.38872,1.63717,0.7923,0.67443,0.77291,0.41763,1.55445,1.13083,1.81351,0.00123275,0.00123275,0.00123275
33,1886.92,1.43256,1.39584,1.626,0.80114,0.68492,0.78449,0.42204,1.55068,1.11895,1.80189,0.001208,0.001208,0.001208
34,1943.12,1.41728,1.3535,1.61071,0.80028,0.68142,0.77942,0.41807,1.53499,1.12616,1.79899,0.00118325,0.00118325,0.00118325
35,1999.31,1.42136,1.36186,1.61663,0.74104,0.69999,0.7694,0.41524,1.52596,1.1588,1.77071,0.0011585,0.0011585,0.0011585
36,2063.77,1.41382,1.35566,1.60388,0.7986,0.70899,0.78476,0.42034,1.54141,1.10345,1.80146,0.00113375,0.00113375,0.00113375
37,2123.3,1.4127,1.36093,1.618,0.79493,0.69074,0.78177,0.42506,1.54526,1.12153,1.81708,0.001109,0.001109,0.001109
38,2182.25,1.3968,1.32509,1.59647,0.80287,0.69975,0.78373,0.42225,1.54988,1.10927,1.81466,0.00108425,0.00108425,0.00108425
39,2240.3,1.3857,1.29656,1.5826,0.80902,0.68608,0.7939,0.43573,1.53235,1.08933,1.78699,0.0010595,0.0010595,0.0010595
40,2298.14,1.38398,1.29741,1.5876,0.80617,0.70488,0.80447,0.43874,1.52988,1.07225,1.77094,0.00103475,0.00103475,0.00103475
41,2356.14,1.38406,1.27969,1.57783,0.83525,0.6855,0.79868,0.43315,1.53357,1.0694,1.78736,0.00101,0.00101,0.00101
42,2414.19,1.38118,1.28982,1.57936,0.8105,0.72103,0.8051,0.43869,1.53036,1.04909,1.7774,0.00098525,0.00098525,0.00098525
43,2472.24,1.38735,1.27443,1.57797,0.82019,0.70239,0.80612,0.44456,1.52324,1.05813,1.77623,0.0009605,0.0009605,0.0009605
44,2529.81,1.37238,1.26806,1.5672,0.79819,0.69567,0.80263,0.44561,1.49552,1.05929,1.7525,0.00093575,0.00093575,0.00093575
45,2587.17,1.36178,1.25154,1.56238,0.8217,0.70763,0.81017,0.44894,1.49994,1.06172,1.75623,0.000911,0.000911,0.000911
46,2644.74,1.35926,1.23621,1.55814,0.80829,0.71695,0.80124,0.4521,1.48545,1.03833,1.73955,0.00088625,0.00088625,0.00088625
47,2702.09,1.34631,1.2419,1.55952,0.81386,0.72685,0.80789,0.44266,1.50208,1.047,1.7657,0.0008615,0.0008615,0.0008615
48,2759.1,1.35085,1.2195,1.54969,0.83666,0.72191,0.81428,0.44982,1.51132,1.03061,1.75595,0.00083675,0.00083675,0.00083675
49,2816.25,1.3349,1.1978,1.53978,0.80087,0.74721,0.8186,0.45505,1.49055,0.99702,1.75005,0.000812,0.000812,0.000812
50,2873.19,1.33452,1.19174,1.53949,0.81688,0.73266,0.81554,0.44978,1.49923,1.00323,1.75154,0.00078725,0.00078725,0.00078725
51,2930.06,1.34629,1.20779,1.54582,0.83091,0.72219,0.82087,0.46169,1.4867,0.99623,1.74973,0.0007625,0.0007625,0.0007625
52,2987.06,1.32435,1.19031,1.53982,0.81838,0.73219,0.81706,0.45502,1.48416,1.00252,1.73805,0.00073775,0.00073775,0.00073775
53,3043.91,1.32374,1.15392,1.52816,0.82208,0.7239,0.82181,0.45939,1.47384,0.99349,1.73032,0.000713,0.000713,0.000713
54,3102.77,1.3143,1.15505,1.51951,0.83403,0.72103,0.82078,0.45721,1.49643,0.99415,1.74129,0.00068825,0.00068825,0.00068825
55,3159.62,1.31705,1.16669,1.51747,0.82484,0.72976,0.81729,0.45918,1.47719,0.97989,1.74022,0.0006635,0.0006635,0.0006635
56,3218.64,1.29734,1.14335,1.51218,0.84469,0.735,0.82975,0.46525,1.48107,0.97843,1.73764,0.00063875,0.00063875,0.00063875
57,3278.18,1.30058,1.12356,1.51151,0.83337,0.74607,0.82792,0.46299,1.50225,0.9663,1.75038,0.000614,0.000614,0.000614
58,3337.48,1.30703,1.13709,1.51223,0.82536,0.73494,0.82317,0.45759,1.48702,0.98372,1.73738,0.00058925,0.00058925,0.00058925
59,3396.85,1.28096,1.12542,1.49703,0.84586,0.73512,0.82734,0.45852,1.4902,0.96787,1.74475,0.0005645,0.0005645,0.0005645
60,3456.25,1.29026,1.11592,1.4984,0.81979,0.75597,0.82212,0.45696,1.49492,0.97881,1.7381,0.00053975,0.00053975,0.00053975
61,3514.93,1.28041,1.10584,1.49013,0.81945,0.73966,0.82527,0.4634,1.48216,0.96105,1.73155,0.000515,0.000515,0.000515
62,3574.74,1.27227,1.09933,1.48928,0.83228,0.73986,0.82469,0.46429,1.47995,0.94897,1.73696,0.00049025,0.00049025,0.00049025
63,3633.97,1.26159,1.0857,1.48238,0.82971,0.74065,0.82121,0.46222,1.48543,0.94121,1.74114,0.0004655,0.0004655,0.0004655
64,3693.3,1.26125,1.08305,1.47987,0.83346,0.76071,0.82616,0.46884,1.47847,0.94902,1.74119,0.00044075,0.00044075,0.00044075
65,3752.55,1.26512,1.06904,1.47837,0.84347,0.74956,0.83375,0.46428,1.49523,0.93467,1.74476,0.000416,0.000416,0.000416
66,3811.72,1.24766,1.06711,1.46517,0.82799,0.75422,0.82685,0.46224,1.48669,0.93093,1.73975,0.00039125,0.00039125,0.00039125
67,3870.32,1.25479,1.07465,1.47515,0.83457,0.74549,0.83375,0.47034,1.47333,0.93128,1.7314,0.0003665,0.0003665,0.0003665
68,3928.36,1.2409,1.05004,1.45459,0.83275,0.75399,0.82762,0.46917,1.47917,0.92842,1.73185,0.00034175,0.00034175,0.00034175
69,3986.48,1.24076,1.03761,1.46148,0.82625,0.75248,0.83084,0.47266,1.46954,0.92922,1.72525,0.000317,0.000317,0.000317
70,4044.62,1.22947,1.03814,1.45276,0.83682,0.76161,0.83455,0.47074,1.48652,0.92556,1.73546,0.00029225,0.00029225,0.00029225
71,4132.16,1.21497,0.82596,1.49932,0.83662,0.74956,0.82824,0.46661,1.49422,0.92405,1.74001,0.0002675,0.0002675,0.0002675
72,4190.22,1.18276,0.80382,1.48103,0.83109,0.77087,0.834,0.47236,1.49173,0.91495,1.74663,0.00024275,0.00024275,0.00024275
73,4247.73,1.1867,0.78482,1.48409,0.84234,0.75305,0.82864,0.46958,1.49182,0.9255,1.74342,0.000218,0.000218,0.000218
74,4305.44,1.1659,0.76405,1.46046,0.83603,0.76238,0.83241,0.47333,1.4866,0.91944,1.74188,0.00019325,0.00019325,0.00019325
75,4362.49,1.16326,0.75644,1.46924,0.85557,0.74523,0.83291,0.47563,1.4931,0.90253,1.75195,0.0001685,0.0001685,0.0001685
76,4420.39,1.14938,0.73559,1.4505,0.84861,0.7583,0.83341,0.4753,1.47942,0.90235,1.73891,0.00014375,0.00014375,0.00014375
77,4487.46,1.13698,0.72763,1.43622,0.85846,0.74432,0.83383,0.47523,1.48276,0.8958,1.73694,0.000119,0.000119,0.000119
78,4545.15,1.13227,0.72534,1.43882,0.8376,0.76298,0.831,0.47418,1.4909,0.90083,1.74552,9.425e-05,9.425e-05,9.425e-05
79,4602.61,1.13207,0.71715,1.43491,0.8416,0.76121,0.8323,0.47437,1.49286,0.90129,1.74615,6.95e-05,6.95e-05,6.95e-05
80,4660.01,1.12737,0.71475,1.43336,0.84039,0.7548,0.83174,0.47778,1.48872,0.89663,1.74675,4.475e-05,4.475e-05,4.475e-05
